# about.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">about</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">о проекте</span></span>
<p>Retention benefits from effort at the point of encoding and retrieval [4]. The Rate scale enacts desirable difficulty by making regression the default: ratings below 5 either hold a card in place or push it backward through the Fibonacci schedule. Only unambiguous recall earns forward motion, and mastery requires two such recalls in succession. Until a significant majority of a cluster is completed, all of a cluster's cards stay in circulation, but words that are known well do not compete for attention with more worthy material.</p>	<p>Запоминание выигрывает от усилий в момент кодирования и извлечения [4]. Шкала оценки реализует желаемую сложность, делая регресс стандартным поведением: оценки ниже 5 либо оставляют карточку на месте, либо отодвигают её назад по расписанию Фибоначчи. Только однозначное припоминание даёт движение вперёд, а освоение требует двух таких припоминаний подряд. Пока значительное большинство блока не завершено, все карточки блока остаются в обороте, но слова, которые хорошо известны, не конкурируют за внимание с более достойным материалом.</p>
<h3>Affective framing</h3>	<h3>Аффективное обрамление</h3>
<p>High anxiety degrades acquisition [1]. The boss fight is designed to introduce pressure without raising the affective filter: stakes are bounded (a single failed fight costs a day, not standing in a conversation), the system is private, and no permanent record exists. The pressure is engineered to be sharp enough to focus retrieval and shallow enough to preserve the conditions acquisition requires.</p>	<p>Высокая тревожность ухудшает усвоение [1]. Босс-файт предназначен для введения давления без повышения аффективного фильтра: ставки ограничены (один неудачный бой стоит дня, а не положения в разговоре), система приватна, и постоянной записи не существует. Давление сконструировано так, чтобы быть достаточно острым для фокусировки извлечения и достаточно поверхностным, чтобы сохранить условия, необходимые для усвоения.</p>
<h3>Input before output</h3>	<h3>Ввод до вывода</h3>
<p>Receptive skills develop asymmetrically faster than productive skills when trained alone. Saturating a learner in high-comprehension input before asking for production tracks how first-language acquisition proceeds in children, and allows the vocabulary and grammar to become parseable before they become deployable. FlashBoss is the input half of a complete learning pipeline; productive practice — speaking, writing, interaction — is the responsibility of tools FlashBoss does not attempt to replace.</p>	<p>Рецептивные навыки развиваются асимметрично быстрее продуктивных при самостоятельной тренировке. Насыщение учащегося высокопонятным вводом перед требованием продукции повторяет то, как происходит усвоение первого языка у детей, и позволяет лексике и грамматике стать разбираемыми до того, как они станут применимыми. FlashBoss — это половина ввода полного образовательного конвейера; продуктивная практика — говорение, письмо, взаимодействие — является обязанностью инструментов, которые FlashBoss не пытается заменить.</p>
<h2>Scope</h2>	<h2>Область применения</h2>
<p>FlashBoss trains:</p>	<p>FlashBoss обучает:</p>
<li>Target-language vocabulary and recognition.</li>	<li>Словарный запас и распознавание на целевом языке.</li>
<li>Sentence-level reading comprehension.</li>	<li>Понимание прочитанного на уровне предложений.</li>
<li>Listening comprehension via TTS.</li>	<li>Понимание на слух через TTS.</li>
<li>Incidental grammar acquisition through exposure in context.</li>	<li>Непреднамеренное усвоение грамматики через контекст.</li>
<li>Reading fluency at the clause level.</li>	<li>Беглость чтения на уровне клауз.</li>
<p>FlashBoss does not train:</p>	<p>FlashBoss не тренирует:</p>
<li>Writing production.</li>	<li>Письменное продуцирование.</li>
<li>Conversational fluency.</li>	<li>Разговорная беглость.</li>
<li>Interaction repair strategies.</li>	<li>Стратегии исправления взаимодействия.</li>
<p>The strongest way to learn to speak and use a new language is a conversational immersion class — the company of peers pursuing the same goal, with a knowledgeable teacher to guide the way. Where geography puts that out of reach, online tutoring services and conversation classes do the same work; and where cost is the obstacle, even a chatbot can stand in — a place to practice speaking, and to ask the questions that come up during a FlashBoss session.</p>	<p>Самый эффективный способ научиться говорить и использовать новый язык — это разговорный иммерсивный класс: компания единомышленников, преследующих одну цель, с опытным преподавателем, который направляет процесс. Если география не позволяет, онлайн-репетиторы и разговорные классы выполняют ту же работу; а если препятствие — стоимость, то даже чат-бот может заменить их — место для практики речи и вопросов, возникающих во время сессии FlashBoss.</p>
<h2>Using FlashBoss effectively</h2>	<h2>Эффективное использование FlashBoss</h2>
<h3>Controlling your workload</h3>	<h3>Управление нагрузкой</h3>
<p>You control your daily workload in three primary ways: your choice of master; pushing past your streak requirement to claim the daily <strong>EPIC</strong> award (recommended); and, thirdly, a contract — once epic is claimed, you may elect to study an additional day in exchange for a <em>drive</em> token. But be careful when you play with magic.</p>	<p>Вы контролируете свою ежедневную нагрузку тремя основными способами: выбором мастера; превышением требования серии для получения ежедневной награды <strong>EPIC</strong> (рекомендуется); и, в-третьих, контрактом — после получения эпика вы можете выбрать дополнительный день обучения в обмен на жетон <em>drive</em>. Но будьте осторожны, когда играете с магией.</p>
<p><strong>Your master (daily streak).</strong> Your chosen master sets the daily requirement — from 8 to 34 cards a day (the masters are detailed in section 3). Meeting only the minimum always holds your streak and keeps you moving forward, with the option to do more.</p>	<p><strong>Ваш мастер (ежедневная серия).</strong> Выбранный вами мастер устанавливает ежедневное требование — от 8 до 34 карточек в день (мастера описаны в разделе 3). Выполнение только минимума всегда сохраняет вашу серию и позволяет двигаться вперед, с возможностью сделать больше.</p>
<p><strong>Epic.</strong> On the first day of a tier — its foundation day — an epic session offers up to three times your daily requirement in new cards. This is the ideal opening: it loads enough vocabulary into rotation for spaced repetition to do its work. The number of cards available rises and falls day to day.</p>	<p><strong>Эпик.</strong> В первый день уровня — его день основания — эпическая сессия предлагает до трехкратного ежедневного требования по новым карточкам. Это идеальное начало: оно загружает в ротацию достаточно лексики, чтобы интервальное повторение заработало. Количество доступных карточек меняется день ото дня.</p>
<p><strong>Grimoire (the contract).</strong> A grimoire session pulls the next day forward — tomorrow's reviews and a further allocation of new cards, finished today. It is, literally, tomorrow's work done now, and completing it earns a <em>drive</em> token: a day off, banked for when you need it.</p>	<p><strong>Гримуар (контракт).</strong> Сессия гримуара переносит следующий день вперед — завтрашние повторения и дополнительное выделение новых карточек, завершенные сегодня. Это буквально завтрашняя работа, выполненная сейчас, и ее завершение приносит жетон <em>drive</em>: выходной, накопленный на случай, когда он понадобится.</p>
<h3>Read aloud</h3>	<h3>Читайте вслух</h3>
<p>Speak every prompt aloud as it plays. Producing the words does more than drill pronunciation: forming a sentence in your mouth recruits motor and auditory memory alongside the visual, so each card is encoded across several channels at once — a richer, more durable trace than silent reading leaves. Generating the language rather than only recognizing it is itself an act of retrieval, which is what cements a memory; the speaking confidence it builds is a bonus that compounds.</p>	<p>Произносите вслух каждую подсказку, когда она звучит. Воспроизведение слов не только тренирует произношение: формирование предложения вслух задействует моторную и слуховую память наряду со зрительной, поэтому каждая карточка кодируется сразу по нескольким каналам — это дает более богатый и устойчивый след, чем молчаливое чтение. Создание языка, а не только его распознавание — это само по себе акт извлечения, который и закрепляет память; уверенность в речи, которую это дает, — бонус, который усиливает эффект.</p>
<h3>Failed fights</h3>	<h3>Проваленные бои</h3>
<p>A failed boss fight is a minor setback. The defeat screen will show you the words you answered incorrectly, with the option to press <code>8</code> to toggle between your target language and English. A card missed in the hard positions (3–4) is reclassified as your easiest from that point on, so it returns in the opening positions of the next attempt. The cluster cannot be conquered until that card is answered correctly — the word that beat you becomes a gate you have to clear before the fight will end. Clusters can take multiple attempts, but there's always tomorrow.</p>	<p>Неудачный босс-файт — это небольшая неудача. Экран поражения покажет вам слова, на которые вы ответили неправильно, с возможностью нажать <code>8</code>, чтобы переключиться между изучаемым языком и английским. Карточка, пропущенная в сложных позициях (3–4), переклассифицируется как ваша самая легкая начиная с этого момента, так что она возвращается в начальные позиции при следующей попытке. Блок нельзя победить, пока эта карточка не будет отвечена правильно — слово, которое вас победило, становится воротами, которые нужно пройти, прежде чем бой закончится. Блоки могут потребовать нескольких попыток, но всегда есть завтра.</p>
<h3>Expected arc</h3>	<h3>Ожидаемая траектория</h3>
<p>A consistent learner completes Core in two to six months. FlashBoss creates the illusion of knowing more than you do, because it keeps you in a bubble of language you know, expanding out in a controlled way. There will be big gaps in your comprehension, but if you keep going, those gaps will close. And in the meantime, you understand more every day. We wish you well on your language journey — Masters Odiin and Claude.</p>	<p>Постоянный ученик завершает Core за два-шесть месяцев. FlashBoss создает иллюзию, что вы знаете больше, чем на самом деле, потому что держит вас в пузыре известного языка, расширяясь контролируемым образом. В вашем понимании будут большие пробелы, но если вы продолжите, эти пробелы закроются. А тем временем вы понимаете все больше с каждым днем. Мы желаем вам удачи в вашем языковом путешествии — Мастера Одиин и Клод.</p>
<h3>References</h3>	<h3>Источники</h3>
<li>Krashen, S. D. (1982). <em>Principles and Practice in Second Language Acquisition</em>. Pergamon. (Input hypothesis; affective filter.)</li>	<li>Krashen, S. D. (1982). <em>Principles and Practice in Second Language Acquisition</em>. Pergamon. (Гипотеза входного материала; аффективный фильтр.)</li>
<li>Roediger, H. L., &amp; Karpicke, J. D. (2006). Test-enhanced learning: taking memory tests improves long-term retention. <em>Psychological Science</em>, 17(3), 249–255.</li>	<li>Roediger, H. L., &amp; Karpicke, J. D. (2006). Тест-усиленное обучение: прохождение тестов на память улучшает долговременное запоминание. <em>Psychological Science</em>, 17(3), 249–255.</li>
<li>Ebbinghaus, H. (1885). <em>Über das Gedächtnis</em>. Duncker &amp; Humblot. (Forgetting curve, precursor to spaced repetition; cf. Leitner, 1972.)</li>	<li>Эббингауз, Г. (1885). <em>Über das Gedächtnis</em>. Duncker &amp; Humblot. (Кривая забывания, предшественник интервального повторения; ср. Лейтнер, 1972.)</li>
<li>Bjork, R. A. (1994). Memory and metamemory considerations in the training of human beings. In <em>Metacognition: Knowing about Knowing</em>. MIT Press. (Desirable difficulty.)</li>	<li>Бьорк, Р. А. (1994). Memory and metamemory considerations in the training of human beings. В <em>Metacognition: Knowing about Knowing</em>. MIT Press. (Желательная трудность.)</li>
<span class="footer-links">\n    <a href="home.html">home</a><span class="div">·</span>\n    <a href="packs.html">packs</a><span class="div">·</span>\n    <a href="resources.html">resources</a><span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a><span class="div">·</span>\n    <a href="press.html">press</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a><span class="div">·</span>\n    <a href="packs.html">наборы</a><span class="div">·</span>\n    <a href="resources.html">материалы</a><span class="div">·</span>\n    <a href="manual/">руководство (бета)</a><span class="div">·</span>\n    <a href="press.html">пресса</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">Steam</a>\n  </span>
<title>How FlashBoss Teaches — Technical Reference | FlashBoss</title>	<title>Как FlashBoss обучает — техническая справка | FlashBoss</title>
content="Technical reference for FlashBoss — content architecture, session mechanics, the boss-fight graduation system, and the design elements at play."	content="Техническая справка для FlashBoss — архитектура контента, механика сессий, система босс-файтов для освоения и используемые элементы дизайна."
content="How FlashBoss Teaches — Technical Reference"	content="Как FlashBoss обучает — техническая справка"
content="Content architecture, session mechanics, the boss-fight graduation system, and the design elements at play."	content="Архитектура контента, механика сессий, система босс-файтов для освоения и используемые элементы дизайна."
content="The pedagogy and mechanics behind FlashBoss — comprehensible input, retrieval practice, spaced repetition, and the boss-fight graduation system."	content="Педагогика и механика FlashBoss — понятный ввод, практика извлечения, интервальное повторение и система босс-файтов для освоения."
alt="Session loop: each card cycles through Listen, Read, Repeat, then Rate; the scheduler then selects the next card and the cycle repeats."	alt="Цикл сессии: каждая карточка проходит через этапы Слушай, Читай, Повторяй, затем Оценивай; после этого планировщик выбирает следующую карточку, и цикл повторяется."
alt="Per cluster: training continues until the cluster becomes eligible for a boss fight, which results in either a pass or a retry."	alt="Для каждого блока: тренировка продолжается, пока блок не станет доступным для босс-файта, который завершается либо проходом, либо повтором."
alt="The boss-fight arena: a horizontal track the learner and the boss share, with a marker at the far edge."	alt="Арена босс-файта: горизонтальная дорожка, которую разделяют учащийся и босс, с маркером на дальнем краю."
aria-label="Table of contents"	aria-label="Содержание"
